# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\enemies.png	3	26	110
11	textures\enemies-reflect.png	3	26	110
12	textures\enemies_full.png	68	145	190
13	textures\enemies-full-right.png	68	145	190
14	textures\enemies-full-upside-down.png	68	145	190
20	textures\misc.png	176	224	248
400	textures\man_1.png	224	163	216
30	textures\tiles.png	255	128	192
40	textures\misc2.png	4	193	170
50	textures\misc-2.png	166	185	255
60	textures\misc-6.png	255	150	255
61	textures\misc-6.png	0	224	142
62	textures\BoardInfo.png	173	231	225
70	textures\mario-2.png	255	255	255
110	textures\enemies-3reflect.png	163	73	164
100	textures\enemies-3.png	163	73	164
120	textures\misc-2reflect.png	166	185	255
130	textures\racoontransform.png	68	145	190
140	textures\BoardSpace.png	255	255	255
150	textures\enemies-2.png	0	128	128
160	textures\fragment.png	224	163	216
170	textures\Goal.png	0	183	239
180	textures\GameClear.png	0	0	0
190	textures\extra_scene_1_1.png	255	0	255


# id	left	top	right	bottom	texture_id
[SPRITES]

# green mushroom
999995	286	121	302	137	50

# black pipe
999991	170	0	186	16	190
999992	186	0	202	16	190
999993	170	16	186	32	190
999994	186	16	202	32	190

# Course clear board
#star
90	0	0	248	73	180
#flower
91	0	75	248	148	180
#mushroom
92	0	151	248	224	180

#BROKEN BRICK
90013	274	188	290	204	50
90014	293	188	309	204	50
90015	312	188	328	204	50
90016	331	188	347	204	50


#FRAGMENT
1	0	0	9	10	160

#POINT
# 100
90011	61	89	72	97	60
# 200
90012	75	89	87	97	60
# 400
90017	90	89	102	97	60
# 800
90018	105	89	117	97	60
# 1000
90019	120	89	135	97	60
# 2000
90020	138	89	154	97	60
# 4000
90021	157	89	173	97	60
# 8000
90022	176	89	192	97	60
# 1UP
90023	195	89	211	97	60

#COIN
90000	171	137	185	153	30
90001	370	100	384	116	50
90002	353	100	367	116	50
#COIN SPARKLE
#20014	291	100	305	116	60
#20015	304	100	318	116	60
#20016	316	100	330	116	60

#LEAF
20017	180	123	196	137	50
20018	233	123	249	137	120

#MUSHROOM
90003	156	121	172	137	50

# Fireball
60010	240	554	248	562	0
60011	258	553	266	562	0
60012	258	574	266	582	0
60013	240	573	248	582	0
60014	198	554	206	562	0
60015	180	553	188	562	0
60016	180	574	188	582	0
60017	198	573	206	582	0

# transparent flower
30000	34	34	50	50	400

# transparent star
30001	51	34	67	50	400

# transparent mushroom
30002	68	34	84	50	400

# single bush
30003	17	34	33	50	400

# cloud
# left top cloud
30005	51	51	67	67	400
# top cloud
30006	68	51	84	67	400
# right top cloud
30007	85	51	101	67	400
# left bottom cloud
30008	51	68	67	84	400
# bottom cloud
30009	68	68	84	84	400
# right bottom cloud
40000	85	68	101	84	400

# high bush
# left top
50000	137	1	153	17	30
#right top
50001	154	1	170	17	30

# smiling_cloud
30004	34	51	50	67	400

# BIG MARIO 
# idle right
10001	216	243	230	270	70
# walk
#10002	216	243	230	270	70		
10002	255	243	271	270	70
10003	295	244	311	270	70
# idle left
10011	176	243	190	270	70
#walk
#10012	176	243	190	270	70
10012	135	243	151	270	70
10013	95	244	111	270	70
# JUMP RIGHT BIG
10072	335	244	351	270	70
# JUMP LEFT BIG
10073	55	244	71	270	70
# DUCK RIGHT BIG
10074	376	248	390	266	70
# DUCK LEFT BIG
10075	16	248	30	266	70

# SKID RIGHT
400001	175	283	191	311	70
# SKID LEFT
400002	215	283	231	311	70

#LIFT THINGS RIGHT
400003	331	323	345	350	70
400004	356	323	371	350	70
400005	381	323	396	350	70
#LIFT THINGS LEFT
400006	61	323	75	350	70
400007	35	323	50	350	70
400008	10	323	25	350	70

#KICK LEFT
400009	133	283	154	310	70
#KICK RIGHT
400010	252	283	273	310	70

# die 
10099	15	209	31	225	70

# SMALL MARIO
# idle small right
10021	217	89	229	104	70
# walk
10022	217	89	229	104	70
10023	256	89	271	105	70
# idle small left
10031	177	89	189	104	70
# walk
10032	177	89	189	104	70
10033	135	89	150	105	70
# JUMP RIGHT SMALL
10076	335	89	351	105	70
# JUMP LEFT SMALL
10077	55	89	71	105	70

# DUCK RIGHT
#DUCK LEFT

#Skid right
300001	176	129	190	145	70
#Skid left
300002	216	129	230	145	70

#LIFT THINGS RIGHT
300003	56	169	70	185	70
300004	15	169	30	186	70
#LIFT THINGS LEFT
300005	336	169	350	185	70
300006	376	169	391	185	70

#KICK RIGHT
300007	255	129	271	145	70
#KICK LEFT
300008	135	129	151	145	70

# BIG MARIO IN RACOON FORM
# idle right
10034	212	443	233	471	70
# idle left
10035	173	443	194	471	70
# walk right
10051	236	443	259	471	70
10052	262	443	284	471	70
10053	291	443	314	470	70
# walk left
10054	147	443	170	471	70
10055	122	443	144	471	70
10068	92	443	115	470	70
#jump left 
10056	52	443	75	470	70
# jump right
10057	331	443	354	470	70
#duck right
10058	372	448	394	466	70
#duck left 
10059	12	448	34	466	70
#Fall
10060	211	603	234	630	70
10061	291	443	314	470	70
10062	172	603	195	630	70
10063	92	443	115	470	70
#Fly right
10064	291	603	315	631	70
10065	331	603	355	630	70
#fly left
10066	91	603	115	631	70
10067	51	603	75	630	70

#SKID RIGHT
500001	175	482	191	512	70
#SKID LEFT
500002	215	482	231	512	70

# slide right racoon
10078	211	523	235	551	70
10079	251	523	275	551	70
10080	291	523	315	550	70

# slide left racoon
10081	171	523	195	551	70
10082	131	523	155	551	70
10083	91	523	115	550	70
#	

# slide right small
10084	215	169	231	185	70
10085	255	169	271	185	70
# slid left small
10086	175	169	191	185	70
10087	135	169	151	185	70

# slide right big
10088	213	323	232	350	70
10089	253	323	272	350	70
10090	293	324	312	350	70
# slide left big
10091	174	323	193	350	70
10092	134	323	153	350	70
10093	94	324	113	350	70

# racoon falling right
10094	211	603	234	630	70
10096	252	603	274	631	70
# racoon falling left
10095	172	603	195	630	70
10097	132	603	154	631	70


# attack right and left
10069	355	483	371	511	70
10070	176	560	199	588	70
10071	210	560	233	588	70

#LIFT THINGS LEFT
500003	63	523	84	551	70
500004	33	523	55	551	70
500005	2	523	25	551	70
#LIFT THINGS RIGHT
500006	322	523	343	551	70
500007	351	523	373	551	70
500008	381	523	404	551	70

#KICK RIGHT
500009	247	483	269	511	70
#KICK LEFT
500010	137	483	159	511	70


# TO RACOON
10100	0	0	16	16	130
10101	17	0	33	16	130
10102	34	0	50	16	130
10103	51	0	67	16	130


# PIRANHA PLANT
#left
70003	150	126	166	158	110
70004	167	126	183	158	110
70005	184	126	200	158	110
70006	201	126	217	158	110
#right
70007	273	126	289	158	100
70008	256	126	272	158	100
70009	239	126	255	158	100
70010	222	126	238	158	100

# GREEN SHORT PIRANHA PLANT
70015	366	100	382	124	100
70016	385	100	401	124	100

# GREEN SHORT SHOOTING PLANT
# right top
70017	152	100	168	124	100
70018	169	100	185	124	100
# right bottom
70019	186	100	202	124	100
70020	203	100	219	124	100
# left top
70021	271	100	287	124	110
70022	254	100	270	124	110
# left bottom
70023	237	100	253	124	110
70024	220	100	236	124	110




# PIPE
# top left pipe
70011	324	52	340	68	30
# top right pipe
70012	341	52	357	68	30
# bottom left pipe
70013	324	69	340	85	30
# bottom right pipe
70014	341	69	357	85	30
	

#QUESTION BRICK
40001	157	188	173	204	50
40002	176	188	192	204	50
40003	196	188	212	204	50
40004	215	188	231	204	50

# Qbrick got hit
40010	235	188	251	204	50

# shadow box
# right top corner
40005	103	69	119	85	30
# vertical
40006	103	86	119	102	30
# right bottom corner
40007	103	103	119	119	30
# horizontally
40008	86	103	102	119	30
# left bottom corner
40009	69	103	85	119	30

# color brick corner
# top left corner white
80000	1	1	17	17	30
# top right corner white
80001	35	1	51	17	30
# bottom left corner white
80002	1	35	17	51	30
# bottom right corner white
80003	35	35	51	51	30

# top left corner green
80004	52	1	68	17	30
# top right corner green
80005	86	1	102	17	30
# bottom left corner green
80006	52	35	68	51	30
# bottom right corner green
80007	86	35	102	51	30

# top left corner pink
80008	1	52	17	68	30
# top right corner pink
80009	35	52	51	68	30
# bottom left corner pink
80010	1	86	17	102	30
# bottom right corner pink
80011	35	86	51	102	30

# top left corner blue
80012	52	52	68	68	30
# top right corner blue
80013	86	52	102	68	30
# bottom left corner blue
80014	52	86	68	102	30
# bottom right corner blue
80015	86	86	102	102	30

# center blue
80016	69	69	85	85	30
# center pink
80017	18	69	34	85	30
# center green
80018	69	18	85	34	30
# center white
80019	18	18	34	34	30

# right side pink
# 80020	238	85	254	101	30

#BRICK
20001	239	222	255	238	30
#LEFT BRICK
20002	222	222	238	238	30
#RIGHT BRICK
20003	256	222	272	238	30

#BRICK2
20004	1	18	17	34	40
20005	18	18	34	34	40
20006	35	18	51	34	40


#BRICK3
20008	324	171	340	187	30

#BRICK4
20009	103	52	119	68	40
21010	86	52	102	68	40
21011	69	52	85	68	40
21012	52	52	68	68	40

#TRANSPARENT UPSIDEBRICK
20010	256	1	272	2	30

#GOOMBA
100001	5	14	21	29	10
100002	25	14	41	29	10
#GOOMBA die
100003	45	21	61	29	10
#GOOMBA GET HIT
100025	16	874	32	890	14

#RED FLYING GOOMBA
#walk
100026	456	79	476	103	150
100027	435	79	455	103	150
#fly
100028	414	79	434	103	150
100029	393	79	413	103	150

#FLYING GOOMBA
#walk
100030	64	11	84	30	10
100031	87	11	107	30	10
#fly
100032	110	6	130	30	10
100033	134	6	154	30	10
#bomb right and left
100034	157	21	165	30	10
100035	170	21	178	30	10


#Koopas
#shell idle
100004	640	48	656	64	13
#upward
100046	32	826	48	842	14

#shell spin
100005	592	48	608	64	13
100006	608	48	624	64	13
100007	624	48	640	64	13
#upward
100052	48	826	64	842	14
100053	64	826	80	842	14
100054	80	826	96	842	14
#right
100008	672	51	688	77	13
100009	656	51	672	77	13
#left
100010	0	51	16	77	12
100011	16	51	32	78	12
#die
100012	152	202	168	218	150
#OUT A SHELL
100022	32	64	48	80	12
100023	32	96	48	112	12
#upward
100047	32	810	48	826	14
100048	32	778	48	794	14

#GREEN FLYING KOOPAS
#walk left
100036	93	130	109	156	10
100037	114	129	130	156	10
#fly left
100038	135	129	151	156	10
100039	157	128	173	156	10
#walk right
100040	350	129	366	156	11
100041	371	130	387	156	11
#fly right
100042	307	128	323	156	11
100043	329	129	345	156	11


#bang effect
100044	496	0	512	16	13
100045	512	0	528	16	13


#RED KOOPAS
