# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\enemies.png	3	26	110
11	textures\enemies-reflect.png	3	26	110
12	textures\enemies_full.png	68	145	190
13	textures\enemies-full-right.png	68	145	190
14	textures\enemies-full-upside-down.png	68	145	190
20	textures\misc.png	176	224	248
400	textures\man_1.png	224	163	216
30	textures\tiles.png	255	128	192
40	textures\misc2.png	4	193	170
50	textures\misc-2.png	166	185	255
60	textures\misc-6.png	255	150	255
61	textures\misc-6.png	0	224	142
62	textures\BoardInfo.png	173	231	225
70	textures\mario-2.png	255	255	255
110	textures\enemies-3reflect.png	163	73	164
100	textures\enemies-3.png	163	73	164
120	textures\misc-2reflect.png	166	185	255
130	textures\racoontransform.png	68	145	190
140	textures\BoardSpace.png	255	255	255
150	textures\enemies-2.png	0	128	128
160	textures\fragment.png	224	163	216
170	textures\Goal.png	0	183	239
180	textures\GameClear.png	0	0	0
190	textures\extra_scene_1_1.png	255	0	255


# id	left	top	right	bottom	texture_id
[SPRITES]

# goal border
999999	245	17	271	43	400

# Pswitch
999996	156	144	172	160	50
999997	178	144	194	160	50
999998	200	144	216	160	50

# green mushroom
999995	286	121	302	137	50

# black pipe
999991	170	0	186	16	190
999992	186	0	202	16	190
999993	170	16	186	32	190
999994	186	16	202	32	190


# Course clear board
#star
90	0	0	248	73	180
#flower
91	0	75	248	148	180
#mushroom
92	0	151	248	224	180

#BROKEN BRICK
90013	274	188	290	204	50
90014	293	188	309	204	50
90015	312	188	328	204	50
90016	331	188	347	204	50


#FRAGMENT
1	0	0	9	10	160

#POINT
# 100
90011	61	89	72	97	60
# 200
90012	75	89	87	97	60
# 400
90017	90	89	102	97	60
# 800
90018	105	89	117	97	60
# 1000
90019	120	89	135	97	60
# 2000
90020	138	89	154	97	60
# 4000
90021	157	89	173	97	60
# 8000
90022	176	89	192	97	60
# 1UP
90023	195	89	211	97	60

#COIN
90000	171	137	185	153	30
90001	370	100	384	116	50
90002	353	100	367	116	50
#COIN SPARKLE
#20014	291	100	305	116	60
#20015	304	100	318	116	60
#20016	316	100	330	116	60

#LEAF
20017	180	123	196	137	50
20018	233	123	249	137	120

#MUSHROOM
90003	156	121	172	137	50

# Fireball
60010	240	554	248	562	0
60011	258	553	266	562	0
60012	258	574	266	582	0
60013	240	573	248	582	0
60014	198	554	206	562	0
60015	180	553	188	562	0
60016	180	574	188	582	0
60017	198	573	206	582	0

# transparent flower
30000	34	34	50	50	400

# transparent star
30001	51	34	67	50	400

# transparent mushroom
30002	68	34	84	50	400

# single bush
30003	17	34	33	50	400

# cloud
# left top cloud
30005	51	51	67	67	400
# top cloud
30006	68	51	84	67	400
# right top cloud
30007	85	51	101	67	400
# left bottom cloud
30008	51	68	67	84	400
# bottom cloud
30009	68	68	84	84	400
# right bottom cloud
40000	85	68	101	84	400

# high bush
# left top
50000	137	1	153	17	30
#right top
50001	154	1	170	17	30

# smiling_cloud
30004	34	51	50	67	400

# Fire Mario
#idle right
888880	216	683	230	710	70
#walk right
888881	255	683	271	710	70
888882	295	684	311	710	70
#idle left
888883	176	683	190	710	70
#walk left
888884	135	683	151	710	70
888885	95	684	111	710	70
#jump right
888886	335	684	351	710	70
#jump left
888887	55	684	71	710	70
#duck right
888888	376	688	390	706	70
#duck left
888889	16	688	30	706	70
# SKID RIGHT
888890	175	723	191	751	70
#SKID LEFT
888891	215	723	231	751	70
#LIFT RIGHT
888892	331	763	345	790	70
888893	356	763	371	790	70
888894	380	764	396	790	70
#LIFT LEFT
888895	61	763	77	790	70
888896	35	763	50	790	70
888897	10	764	26	790	70
#KICK LEFT
888898	133	723	154	750	70
#KICK RIGHT
888899	252	723	273	750	70
#slide right
888900	213	763	232	790	70
888901	253	763	272	790	70
888902	293	764	312	790	70
#slide left
888903	174	763	193	790	70
888904	134	763	153	790	70
888905	94	764	113	790	70
# throw right
888906	366	803	380	830	70
888907	386	803	400	830	70
# throw left
888908	26	803	40	830	70
888909	6	803	20	830	70


# mario get in pipe
#small
888917	15	129	31	145	70
#big
888918	15	283	31	310	70
#racoon
888919	35	483	51	511	70
#fire
888920	15	723	31	750	70



# BIG MARIO 
# idle right
10001	216	243	230	270	70
# walk
#10002	216	243	230	270	70		
10002	255	243	271	270	70
10003	295	244	311	270	70
# idle left
10011	176	243	190	270	70
#walk
#10012	176	243	190	270	70
10012	135	243	151	270	70
10013	95	244	111	270	70
# JUMP RIGHT BIG
10072	335	244	351	270	70
# JUMP LEFT BIG
10073	55	244	71	270	70
# DUCK RIGHT BIG
10074	376	248	390	266	70
# DUCK LEFT BIG
10075	16	248	30	266	70

# SKID RIGHT
400001	175	283	191	311	70
# SKID LEFT
400002	215	283	231	311	70

#LIFT THINGS RIGHT
400003	331	323	345	350	70
400004	356	323	371	350	70
400005	381	323	396	350	70
#LIFT THINGS LEFT
400006	61	323	75	350	70
400007	35	323	50	350	70
400008	10	323	25	350	70

#KICK LEFT
400009	133	283	154	310	70
#KICK RIGHT
400010	252	283	273	310	70

# die 
10099	15	209	31	225	70

# SMALL MARIO
# idle small right
10021	217	89	229	104	70
# walk
10022	217	89	229	104	70
10023	256	89	271	105	70
# idle small left
10031	177	89	189	104	70
# walk
10032	177	89	189	104	70
10033	135	89	150	105	70
# JUMP RIGHT SMALL
10076	335	89	351	105	70
# JUMP LEFT SMALL
10077	55	89	71	105	70

# DUCK RIGHT
#DUCK LEFT

#Skid right
300001	176	129	190	145	70
#Skid left
300002	216	129	230	145	70

#LIFT THINGS RIGHT
300003	56	169	70	185	70
300004	15	169	30	186	70
#LIFT THINGS LEFT
300005	336	169	350	185	70
300006	376	169	391	185	70

#KICK RIGHT
300007	255	129	271	145	70
#KICK LEFT
300008	135	129	151	145	70

# BIG MARIO IN RACOON FORM
# idle right
10034	212	443	233	471	70
# idle left
10035	173	443	194	471	70
# walk right
10051	236	443	259	471	70
10052	262	443	284	471	70
10053	291	443	314	470	70
# walk left
10054	147	443	170	471	70
10055	122	443	144	471	70
10068	92	443	115	470	70
#jump left 
10056	52	443	75	470	70
# jump right
10057	331	443	354	470	70
#duck right
10058	372	448	394	466	70
#duck left 
10059	12	448	34	466	70
#Fall
10060	211	603	234	630	70
10061	291	443	314	470	70
10062	172	603	195	630	70
10063	92	443	115	470	70
#Fly right
10064	291	603	315	631	70
10065	331	603	355	630	70
#fly left
10066	91	603	115	631	70
10067	51	603	75	630	70

#SKID RIGHT
500001	175	482	191	512	70
#SKID LEFT
500002	215	482	231	512	70

# slide right racoon
10078	211	523	235	551	70
10079	251	523	275	551	70
10080	291	523	315	550	70

# slide left racoon
10081	171	523	195	551	70
10082	131	523	155	551	70
