# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\worldmap1.png	0	0	255
1	textures\world_map1.png	255	0	255
10	textures\marioworldmap1.png	64	128	0
30	textures\bbox.png	237	28	36
61	textures\misc-6.png	0	224	142
62	textures\BoardInfo.png	173	231	225
170	textures\Goal.png	0	183	239
999	textures\GameOverMenu.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]

#bush
999903	1	26	17	42	10
999904	18	26	34	42	10
999905	35	26	51	42	10
999906	52	26	68	42	10

#help
999907	34	60	50	74	10
999908	35	76	51	90	10

# Game over menu
# continue
999901	0	0	128	64	999
# end
999902	0	67	128	131	999

# ENDGAME BRICK
# empty
200053	375	265	391	281	170
# star
200054	384	352	400	368	170
# flower
200055	412	352	428	368	170
# mushroom
200056	440	352	456	368	170
# star spin
200060	297	373	38	389	170
200057	344	374	360	390	170
# flower spin
200061	277	374	293	390	170
200058	329	375	345	391	170
# mushroom spin
200062	257	373	273	389	170
200059	316	375	332	391	170

#DIGIT AND ALPHABET
#0
200000	77	31	85	38	61
#1
200001	87	31	95	38	61
#2
200002	97	31	105	38	61
#3
200003	107	31	115	38	61
#4
200004	117	31	125	38	61
#5
200005	127	31	85	38	61
#6
200006	87	31	145	38	61
#7
200007	147	31	155	38	61
#8
200008	157	31	165	38	61
#9
200009	167	31	175	38	61
#A
200010	177	31	185	39	61
#B
200011	187	31	195	39	61
#C
200012	77	41	85	49	61
#D
20008	87	41	95	49	61
#E
200014	97	41	105	49	61
#F
200015	107	41	115	49	61
#G
200016	117	41	125	49	61
#H
200017	127	41	85	49	61
#I
200018	87	41	145	49	61
#J
200019	147	41	155	49	61
#K
200020	157	41	165	49	61
#L
200021	167	41	175	49	61
#M
200022	177	41	185	49	61
#N
200023	187	41	195	49	61
#O
200024	77	51	85	59	61
#P
200025	87	51	95	59	61
#Q
200026	97	51	105	59	61
#R
200027	107	51	115	59	61
#S
200028	117	51	125	59	61
#T
200029	127	51	85	59	61
#U
200030	87	51	145	59	61
#V
200031	147	51	155	59	61
#W
200032	157	51	165	59	61
#X
200033	167	51	175	59	61
#Y
200034	177	51	185	59	61
#Z
200035	187	51	195	59	61

#MARIO PLAYER
200036	15	160	33	169	61

#DOLLAR SIGN
200037	86	84	143	142	61
#CLOCK
200038	128	143	86	150	61

#SPEED BAR
200039	4	12	68	19	62
200040	4	20	68	27	62
200041	4	28	68	35	62
200042	4	36	68	43	62
200043	4	44	68	51	62
200044	4	52	68	59	62
200045	4	60	68	67	62
200046	4	68	68	75	62
200047	4	76	68	83	62


#ENDGAME CARD
# empty
200048	176	84	192	150	61
# mushroom
200049	108	3	124	19	62
# flower
200050	128	3	144	19	62
# star
200051	148	3	164	19	62

#BOARD
200052	11	127	245	155	61

# BIG
10050	31	4	47	25	10
10051	48	4	64	25	10
# SMALL
10052	1	9	15	25	10
10053	16	9	30	25	10
# FIRE
10054	65	4	81	25	10
10055	82	4	98	25	10
# RACOON
10056	99	1	116	25	10
10057	116	1	82	25	10

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

#help
999907	999907	300	999908	300

#bush
999903	999903	300	999904	300	999905	300	999906	300

# Game over menu
# continue
999901	999901	100
# end
999902	999902	100

#ENDGAME BLOCK
#empty
200053	200053	100
#gatcha
200054	200054	150	200055	150	200056	150
#star spin
200057	200060	100	200057	100
#flower spin
200058	200061	100	200058	100
#mushroom spin
200059	200062	100	200059	100


#MARIO PLAYER
200036	200036	100

#DIGIT AND ALPHABET
#0
200000	200000	100
#1
200001	200001	100
#2
200002	200002	100
#3
200003	200003	100
#4
200004	200004	100
#5
200005	200005	100
#6
200006	200006	100
#7
200007	200007	100
#8
200008	200008	100
#9
200009	200009	100
#A
200010	200010	100
#B
200011	200011	100
#C
200012	200012	100
#D
20008	20008	100
#E
200014	200014	100
#F
200015	200015	100
#G
200016	200016	100
#H
200017	200017	100
#I
200018	200018	100
#J
200019	200019	100
#K
200020	200020	100
#L
200021	200021	100
#M
200022	200022	100
#N
200023	200023	100
#O
200024	200024	100
#P
200025	200025	100
#Q
200026	200026	100
#R
200027	200027	100
#S
200028	200028	100
#T
200029	200029	100
#U
200030	200030	100
#V
200031	200031	100
#W
200032	200032	100
#X
200033	200033	100
#Y
200034	200034	100
#Z
200035	200035	100

#MARIO PLAYER
200036	200036	100

#DOLLAR SIGN
200037	200037	100
#CLOCK
200038	200038	100

#SPEED BAR
200039	200039	100
200040	200040	100
200041	200041	100
200042	200042	100
200043	200043	100
200044	200044	100
200045	200045	100
200046	200046	100
200047	200047	100

#ENDGAME CARD
200048	200048	100
200049	200049	100
200050	200050	100
200051	200051	100

#ENDGAME BLOCK
#empty
200053	200053	100
#gatcha
200054	200054	150	200055	150	200056	150
#star spin
200057	200060	100	200057	100
#flower spin
200058	200061	100	200058	100
#mushroom spin
200059	200062	100	200059	100


#BOARD
200052	200052	100


#MARIO
50	10050	100	10051	100
51	10052	100	10053	100
52	10054	100	10055	100
53	10056	100	10057	100



#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]

#help
999907	999907

#bush
999903	999903

# Game over menu
# 0 is continue, 1 is end
999901	999901	999902

#MARIO PLAYER
2036	200036

#ENDGAME BLOCK
200053	200053	200054
#spin choosen one
200057	200057	200058	200059

#DIGIT AND ALPHABET
2000	200000	200001	200002	200003	200004	200005	200006	200007	200008	200009	200010	200011	200012	20008	200014	200015	200016	200017	200018	200019	200020	200021	200022	200023	200024	200025	200026	200027	200028	200029	200030	200031	200032	200033	200034	200035
#DOLLAR SIGN
2037	200037
#CLOCK
2038	200038

#SPEED BAR
2039	200039	200040	200041	200042	200043	200044	200045	200046
#ENDGAME CARD
200048	200048
200049	200049
200050	200050
200051	200051
2048	200048	200049	200050	200051
#ENDGAME BLOCK
200053	200053	200054
#spin choosen one
200057	200057	200058	200059

#BOARD
2052	200052

#mario
0	51	50	52	53


[MAP]
